time,end,type,sc_id,source,orbit,description
2020-06-17/22:56:03,2020-06-17/22:58:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:53:33,2020-06-17/22:56:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:51:03,2020-06-17/22:53:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:48:33,2020-06-17/22:51:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:46:03,2020-06-17/22:48:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:43:33,2020-06-17/22:46:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:41:03,2020-06-17/22:43:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:38:33,2020-06-17/22:41:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:36:03,2020-06-17/22:38:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:33:33,2020-06-17/22:36:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:31:13,2020-06-17/22:33:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:28:43,2020-06-17/22:31:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:26:13,2020-06-17/22:28:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:23:43,2020-06-17/22:26:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:21:13,2020-06-17/22:23:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:18:43,2020-06-17/22:21:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:16:13,2020-06-17/22:18:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:13:43,2020-06-17/22:16:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:11:13,2020-06-17/22:13:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:08:43,2020-06-17/22:11:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:06:13,2020-06-17/22:08:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:03:53,2020-06-17/22:06:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:01:23,2020-06-17/22:03:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:58:53,2020-06-17/22:01:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:56:23,2020-06-17/21:58:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:53:53,2020-06-17/21:56:23,burst_segment,mms,Burst,1119,Strong KH waves
