times,n,Tpara,Tperp
1592428964.4025578,0.99185747,483.28256,454.2206
1592432357.150833,1.0440544,194.95903,210.2721
1592430835.529195,1.5554286,198.34904,245.93582
1592429233.506389,1.5126809,325.5608,290.16455
1592426822.6720152,1.5219615,231.4252,208.26103
1592429858.265292,2.8936558,153.34003,105.5856
1592429047.95374,1.0359689,425.19354,382.4116
1592429092.204381,1.0698692,445.21515,474.00052
1592430022.967625,1.3610965,287.4126,289.26266
1592431375.3868742,3.338446,92.533516,85.641685
1592427503.531731,1.0043926,365.48038,327.86462
1592432883.808306,0.8457113,307.92755,311.11807
1592434751.484818,1.0742886,447.14365,352.94818
1592426651.519574,1.1103852,367.89447,364.41898
1592428443.295132,0.71947694,848.96344,743.5345
1592434625.483031,0.977979,396.08533,379.03314
1592433037.110493,1.1119787,445.0888,501.87576
1592432128.54758,1.2999871,297.17252,269.60086
1592431039.682097,1.4388753,273.36472,272.9696
1592427941.687976,0.7062638,853.4093,710.7436
1592429078.704182,0.95945144,468.1231,398.77585
1592428546.496601,1.0565566,543.26215,472.32498
1592432214.0487869,1.4809996,325.31747,311.59607
1592426520.567704,0.8814563,612.2368,538.7202
1592431754.292263,1.3779886,362.49658,277.64255
1592428486.3457448,0.690555,859.144,764.44183
1592431455.788012,1.6995016,213.4168,179.15288
1592430993.4814432,1.6421824,166.85832,144.7637
1592431335.936306,5.305393,95.956856,62.710064
1592433886.122546,4.40271,93.36243,72.806564
1592431154.883732,1.1994147,355.10965,385.88095
1592427977.23849,0.73291755,897.4331,819.80396
1592433375.665292,1.2337407,389.72922,375.00693
1592430404.8730628,1.2791574,268.75247,253.65092
1592431637.4406002,0.7910874,739.2567,684.40045
1592426037.8608088,1.1016409,445.86954,424.81232
1592433524.0173938,5.2707934,144.44756,89.67507
1592434339.578974,1.4657866,341.64142,321.3065
1592434468.580804,5.1731696,124.999344,81.2394
1592432773.106744,4.3681593,143.0317,82.72843
1592426751.421002,0.8633548,442.81525,474.89096
1592432174.598232,1.0851486,374.50656,350.04248
1592430330.17201,1.8309709,184.80838,153.64671
1592431807.9930172,1.3544905,313.9882,303.34406
1592431225.834742,1.2483509,367.80692,393.2573
1592428459.795361,0.678307,865.27484,840.6802
1592429466.909709,4.256072,70.54645,66.309525
1592430753.178028,1.1121007,373.67465,344.71585
1592433938.923284,5.163864,114.97417,81.08167
1592430319.971853,1.8750513,172.72026,129.30853
1592430979.531243,1.4547887,139.37135,133.31728
1592426564.968332,1.0705123,469.24426,452.06873
1592426341.015135,1.253246,388.76422,388.15115
1592433185.912595,2.9743435,80.97585,75.482346
1592427675.134184,1.1848155,372.1576,299.5573
1592431937.444865,2.0183678,138.34265,136.44743
1592430538.9749691,1.6998305,240.1242,208.0274
1592428529.9963589,1.0657359,484.74628,476.99783
1592431647.6407418,0.80429286,699.24744,605.32074
1592431556.1394491,1.1424235,409.3901,429.192
1592426472.567019,1.1012782,494.89438,534.51245
1592434234.727484,2.3920221,130.62386,108.88528
1592434536.231768,2.254117,222.73038,147.78273
1592426253.4138932,0.9176059,489.4174,402.1105
1592430667.376805,1.1860553,439.5025,423.954
1592428586.397171,0.9608194,329.33722,386.30685
1592434030.4245892,1.0299604,375.21136,323.83398
1592433344.164852,1.0880524,391.5715,380.06454
1592434023.6744902,0.93273467,387.6083,296.87186
1592433142.261984,5.5512695,107.53043,56.87356
1592427574.632742,0.9698152,293.04688,321.5609
1592433378.365335,1.1874949,452.1822,403.65732
1592433508.56718,5.0192966,91.493095,74.33388
1592434747.434762,0.9784978,422.16068,355.03342
1592432938.259087,1.0805881,270.9382,307.09793
1592431188.6342158,0.98046106,403.36682,411.59814
1592428785.900007,0.9244467,513.44415,571.5042
1592431891.544211,1.5565312,243.12338,184.83278
1592427170.82698,1.0330726,438.27573,311.45996
1592429289.307188,1.5404791,283.78256,288.28387
1592427985.7886028,0.7010158,929.21436,845.9956
1592432491.402737,1.0082556,377.01837,298.13254
1592427558.132515,1.2757554,174.03407,223.97153
1592427393.730162,1.130101,426.58978,416.3834
1592432913.508733,1.3907286,228.80101,287.8196
1592429310.757487,1.118867,400.0136,352.1025
1592427286.1786351,1.1670969,452.94223,466.61594
1592433492.0669389,5.966868,84.19553,74.06362
1592430823.229024,1.5562748,200.50446,170.96365
1592426047.460952,1.250374,410.1797,440.46204
1592429148.155178,1.0936338,413.43228,362.2109
1592431015.6817548,1.2750711,248.17609,221.5986
1592429710.5131829,0.99895996,382.25073,476.6139
1592433850.572035,2.9192073,93.34355,119.31191
1592431690.541354,1.0319866,502.894,506.82983
1592430716.427501,1.2313687,423.08282,404.4456
1592426258.6639638,0.82780904,429.81924,410.54254
1592433503.317108,5.5371633,90.939255,75.98765
1592434339.878974,1.1869519,345.82053,364.91226
1592426551.918147,0.97697693,435.34744,457.69873
1592429726.1134012,1.4623665,318.24393,321.37418
1592427147.276652,0.976051,374.52,371.83865
1592429907.1659892,1.8629072,181.50716,186.97429
1592428088.990072,0.70870584,893.768,925.9926
1592431703.441538,1.0252898,424.10574,465.93063
1592426583.568604,1.183124,448.4453,389.06195
1592428980.302785,1.0019821,418.8594,397.05927
1592426944.7737548,1.0706404,481.23035,462.59875
1592432120.5974662,1.2011278,282.00226,280.76282
1592430294.471497,3.2888565,89.8946,83.27389
1592425919.9591238,1.010446,696.8075,615.887
1592432642.454883,0.9816221,492.08704,434.4314
1592428583.247128,0.9171607,369.08386,428.7561
1592428776.449878,0.90383077,525.06354,495.42923
1592428971.3026571,1.0299568,446.94193,460.18628
1592428177.19134,0.79495966,902.2415,746.14685
1592427511.03183,0.9622158,430.3673,349.4466
1592430356.27238,1.3812121,226.31819,216.53563
1592429114.554695,1.1071723,465.55597,412.7244
1592433154.4121542,6.0371423,87.8033,63.623962
1592427539.982244,1.1762484,151.50746,192.59203
1592430109.668865,1.3500302,234.51302,191.64919
1592426331.715006,1.1232909,472.4148,425.72888
1592428095.290172,0.71988314,935.1191,851.9807
1592431614.340273,0.8079957,607.1617,553.47363
1592432861.3079932,0.8745913,299.52206,269.68756
1592432769.806686,4.577903,143.09325,80.65208
1592431341.336392,4.2551827,105.72271,62.401333
1592427050.375268,0.76479274,394.42993,409.0746
1592432663.905181,0.9670976,295.5448,283.65237
1592434707.384193,1.1806405,475.1694,376.66568
1592434574.3323069,0.8162294,507.68735,461.862
1592428448.845203,0.6489063,877.9659,753.21045
1592432527.253249,1.1902786,346.287,359.15436
1592428266.7426088,1.0752257,648.74335,504.31424
1592427609.433242,1.383987,245.17886,189.39427
1592426891.672999,0.83671427,625.31506,587.05695
1592427977.38849,0.6724462,924.1844,853.6932
